RSV_TP_LEVEL,nitrogen_dioxide (μg/m³),carbon_monoxide (μg/m³),uv_index (),ozone (μg/m³),MMWR_WEEK
Very Low,6.748809523809523,184.5297619047619,9.55,69.05952380952381,21
Very Low,7.980357142857143,196.5654761904762,9.5,69.57738095238095,22
Very Low,6.602380952380953,174.48809523809524,9.4,76.54166666666667,23
Very Low,6.463095238095238,167.80357142857142,9.8,69.57142857142857,24
Very Low,6.222619047619048,166.55357142857142,10.75,67.38095238095238,25
Very Low,8.0125,197.6845238095238,9.95,59.98809523809524,26
Very Low,7.002380952380953,187.5654761904762,9.75,58.375,27
Very Low,7.476190476190476,187.73809523809524,10.0,60.285714285714285,28
Very Low,6.464880952380952,176.79166666666666,10.25,62.660714285714285,29
Very Low,5.088690476190476,152.5654761904762,9.4,50.273809523809526,30
Very Low,6.576785714285715,152.9345238095238,9.2,43.845238095238095,31
Very Low,8.463095238095239,184.92857142857142,9.8,52.904761904761905,32
Very Low,7.338690476190477,158.6547619047619,9.05,50.57142857142857,33
Very Low,10.930952380952382,194.13095238095238,9.3,60.720238095238095,34
Very Low,11.596428571428572,199.38095238095238,8.85,64.96428571428571,35
Very Low,10.741071428571429,202.67261904761904,8.1,65.25,36
Very Low,7.568452380952381,186.69642857142858,7.6,53.80357142857143,37
Very Low,17.501785714285717,255.76785714285714,8.05,57.19642857142857,38
Very Low,17.373214285714283,263.4642857142857,7.15,65.95238095238095,39
Very Low,10.043452380952381,209.45833333333334,5.95,57.148809523809526,40
Very Low,18.62202380952381,232.61904761904762,5.8,61.57142857142857,41
Very Low,20.344047619047622,279.9761904761905,5.2,57.464285714285715,42
Low,24.007142857142856,296.7916666666667,4.7,52.779761904761905,43
Low,28.776785714285715,285.13690476190476,4.7,44.00595238095238,44
Low,25.932738095238093,311.64285714285717,4.25,42.45238095238095,45
Low,24.87797619047619,347.9107142857143,3.85,40.607142857142854,46
Low,22.067857142857143,298.3333333333333,2.75,43.50595238095238,47
Low,36.51130952380952,417.44642857142856,2.75,26.839285714285715,48
Low,34.31666666666666,429.01190476190476,2.55,22.642857142857142,49
Moderate,33.43035714285715,386.2261904761905,2.35,22.910714285714285,50
Moderate,33.294642857142854,401.23809523809524,2.4,24.61904761904762,51
Moderate,10.077380952380953,192.45833333333334,1.75,59.94642857142857,52
Moderate,19.247619047619047,348.0833333333333,2.05,45.42261904761905,53
Moderate,18.85595238095238,275.17261904761904,2.5,50.32142857142857,1
Moderate,32.89523809523809,526.6071428571429,2.65,24.11904761904762,2
Moderate,34.81011904761905,544.3571428571429,2.8,23.547619047619047,3
High,27.770238095238092,428.3095238095238,3.1,36.43452380952381,4
Moderate,34.625595238095244,424.0595238095238,3.5,34.410714285714285,5
Moderate,18.348809523809525,246.67857142857142,3.4,51.50595238095238,6
Moderate,9.399404761904762,221.67261904761904,3.65,72.10714285714286,7
