SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2023/2024,09/09/2023,36,2023,46,43,14,22,3,46,2,8.1,8.1,0.48214285714285715,0.08345238095238094,54.63095238095238,2.1410714285714283,12.757738095238096,7.007142857142857,202.625,10.720833333333333
2023/2024,09/16/2023,37,2023,43,43,14,15,3,42,3,7.9,8.1,0.03571428571428571,0.12375,54.0,2.561309523809524,9.869642857142857,7.648809523809524,182.1845238095238,11.714285714285714
2023/2024,09/23/2023,38,2023,53,53,19,17,3,44,1,6.7,6.8,0.5952380952380952,0.1613690476190476,60.458333333333336,1.5750000000000002,9.863690476190476,9.383928571428571,215.61904761904762,14.763690476190478
2023/2024,09/30/2023,39,2023,52,52,18,18,3,43,3,7.0,7.0,0.24404761904761904,0.07404761904761904,52.88690476190476,2.0845238095238097,10.598809523809523,6.032738095238095,190.03571428571428,9.450595238095238
2023/2024,10/07/2023,40,2023,65,53,18,27,4,65,5,6.05,6.1,0.4166666666666667,0.07297619047619047,57.107142857142854,4.5285714285714285,22.541666666666668,10.90952380952381,272.20238095238096,16.270833333333332
2023/2024,10/14/2023,41,2023,54,54,19,21,3,41,5,6.25,6.35,0.16071428571428573,0.06059523809523809,53.339285714285715,3.3779761904761907,13.207142857142859,6.661904761904762,202.49404761904762,10.250595238095238
2023/2024,10/21/2023,42,2023,61,61,23,23,4,49,4,5.9,5.9,0.4880952380952381,0.06946428571428571,49.666666666666664,3.445238095238095,18.004166666666666,10.158928571428572,241.7202380952381,15.3125
2023/2024,10/28/2023,43,2023,40,40,13,18,3,39,3,5.0,5.05,0.0,0.05154761904761905,51.30952380952381,2.5642857142857145,14.336904761904762,6.090476190476191,205.375,9.441666666666666
2023/2024,11/04/2023,44,2023,74,74,31,35,6,41,6,4.6,4.6,0.34523809523809523,0.06107142857142857,37.18452380952381,5.358333333333333,33.65059523809524,12.866666666666665,366.875,18.69047619047619
2023/2024,11/11/2023,45,2023,55,55,19,30,5,36,11,3.35,4.0,0.0,0.06601190476190476,39.07142857142857,8.80297619047619,23.41190476190476,7.660714285714286,255.51190476190476,11.313095238095238
2023/2024,11/18/2023,46,2023,50,50,16,22,5,40,3,3.1,3.15,0.13095238095238096,0.056666666666666664,53.339285714285715,1.7523809523809522,14.008333333333335,4.9523809523809526,208.73214285714286,7.530952380952381
2023/2024,11/25/2023,47,2023,45,45,14,32,5,33,5,3.05,3.05,0.4880952380952381,0.044821428571428575,34.517857142857146,4.05,29.05952380952381,6.863690476190476,304.98809523809524,10.278571428571428
2023/2024,12/02/2023,48,2023,37,36,12,28,5,37,4,2.55,2.8,0.7321428571428571,0.059821428571428574,42.023809523809526,3.111309523809524,23.127380952380953,6.364285714285715,264.0833333333333,10.060119047619047
2023/2024,12/09/2023,49,2023,41,41,13,28,5,34,4,2.4,2.45,0.30952380952380953,0.05892857142857143,35.36904761904762,3.4583333333333335,25.958928571428572,7.203571428571429,256.4345238095238,11.008333333333335
2023/2024,12/16/2023,50,2023,62,62,26,30,6,27,5,2.15,2.15,1.6488095238095237,0.06767857142857144,24.0,4.851190476190476,31.9125,12.698214285714286,340.75,20.22440476190476
2023/2024,12/23/2023,51,2023,53,53,19,27,5,38,4,1.95,2.05,0.125,0.06380952380952382,42.86309523809524,2.4208333333333334,17.521428571428572,5.207142857142857,206.80357142857142,7.901190476190477
2023/2024,12/30/2023,52,2023,52,52,17,28,5,35,6,1.85,2.1,0.06547619047619048,0.06404761904761905,41.43452380952381,3.7,21.19404761904762,6.945833333333334,248.25595238095238,10.255357142857143
2023/2024,01/06/2024,1,2024,41,41,13,27,5,35,4,2.1,2.2,0.05357142857142857,0.06738095238095239,41.18452380952381,3.0529761904761905,21.95595238095238,6.779166666666667,255.73809523809524,10.582738095238096
2023/2024,01/13/2024,2,2024,38,38,14,29,3,35,4,2.05,2.85,0.17261904761904762,0.05708333333333333,43.68452380952381,3.0732142857142852,22.15714285714286,5.580952380952381,230.94642857142858,9.10654761904762
2023/2024,01/20/2024,3,2024,52,52,17,28,4,31,4,2.6,2.75,0.07142857142857142,0.07279761904761906,37.48809523809524,2.7672619047619045,20.314880952380953,7.689285714285714,233.5595238095238,11.661309523809523
2023/2024,01/27/2024,4,2024,40,40,13,26,5,34,3,2.7,2.85,0.10714285714285714,0.07732142857142857,44.50595238095238,2.2898809523809525,17.573809523809523,5.605357142857143,212.3452380952381,8.323809523809524
2023/2024,02/03/2024,5,2024,51,51,17,24,4,40,3,3.15,3.25,0.18452380952380953,0.06857142857142857,51.726190476190474,1.9523809523809523,16.379166666666666,6.163095238095239,216.75,9.845833333333333
2023/2024,02/10/2024,6,2024,48,48,16,25,4,40,4,2.85,3.2,0.1130952380952381,0.08410714285714287,55.82738095238095,2.5017857142857145,16.26904761904762,6.432738095238095,219.6845238095238,10.439880952380953
2023/2024,02/17/2024,7,2024,53,53,18,29,4,39,4,3.55,3.9,0.2619047619047619,0.0905952380952381,42.785714285714285,3.1023809523809525,23.84940476190476,7.579761904761905,260.8690476190476,11.570238095238095
2023/2024,02/24/2024,8,2024,57,57,22,27,5,41,4,3.75,4.05,0.19047619047619047,0.09672619047619048,54.38095238095238,2.0511904761904765,16.553571428571427,7.627380952380953,225.63690476190476,12.05952380952381
2023/2024,03/02/2024,9,2024,56,56,21,26,4,45,3,4.7,4.75,0.44047619047619047,0.09922619047619048,62.339285714285715,2.655357142857143,15.273214285714285,7.525,216.60119047619048,12.201190476190478
2023/2024,03/09/2024,10,2024,54,54,19,26,3,47,3,5.25,5.25,0.07142857142857142,0.13220238095238096,61.68452380952381,2.3107142857142855,16.152380952380952,8.507738095238095,211.66666666666666,13.719642857142858
2023/2024,03/16/2024,11,2024,46,46,16,32,4,46,3,5.3,5.3,0.17857142857142858,0.09488095238095237,63.31547619047619,2.417261904761905,15.90892857142857,7.060714285714286,221.5297619047619,11.04404761904762
2023/2024,03/23/2024,12,2024,50,50,17,26,4,44,3,5.8,6.15,0.07738095238095238,0.09321428571428572,56.166666666666664,2.8886904761904764,21.14464285714286,8.234523809523811,249.35119047619048,12.764880952380953
2023/2024,03/30/2024,13,2024,45,33,12,21,3,45,2,5.2,6.35,0.02976190476190476,0.11833333333333333,68.20238095238095,1.4607142857142859,10.466666666666667,5.730952380952381,189.47619047619048,9.292857142857143
2023/2024,04/06/2024,14,2024,56,51,17,21,3,56,3,7.35,7.35,0.1130952380952381,0.12148809523809524,68.48809523809524,2.2047619047619045,13.38452380952381,8.264285714285714,219.0297619047619,13.254166666666666
2023/2024,04/13/2024,15,2024,61,55,20,27,3,61,4,6.95,6.95,0.20833333333333334,0.09333333333333334,64.55357142857143,2.9327380952380953,16.054166666666667,8.154166666666667,217.02380952380952,12.582738095238096
2023/2024,04/20/2024,16,2024,64,64,25,25,4,59,4,8.15,8.15,0.13095238095238096,0.10595238095238095,66.97619047619048,3.3220238095238095,16.97083333333333,10.24702380952381,229.72619047619048,15.570833333333335
2023/2024,04/27/2024,17,2024,50,50,17,23,3,44,3,8.5,8.65,0.25,0.12202380952380952,68.9702380952381,1.7220238095238096,8.075595238095238,6.67202380952381,171.47619047619048,10.479166666666666
2023/2024,05/04/2024,18,2024,48,26,9,11,2,48,2,8.65,8.65,0.05357142857142857,0.06273809523809525,62.267857142857146,1.7148809523809525,7.854761904761904,5.082738095238095,159.71428571428572,7.770238095238096
2023/2024,05/11/2024,19,2024,79,53,19,18,3,79,3,8.85,8.9,0.30357142857142855,0.085,73.72619047619048,2.473809523809524,10.676190476190476,8.161904761904761,191.5297619047619,12.657738095238095
2023/2024,05/18/2024,20,2024,45,43,14,11,2,45,2,8.9,9.0,0.6726190476190477,0.12172619047619047,65.67261904761905,1.4261904761904762,6.6380952380952385,7.192857142857143,156.98809523809524,11.196428571428571
2023/2024,05/25/2024,21,2024,49,40,14,13,2,49,2,8.75,8.75,0.1488095238095238,0.08148809523809523,66.85119047619048,1.5910714285714287,7.1726190476190474,7.259523809523809,153.0654761904762,11.645238095238096
2023/2024,06/01/2024,22,2024,49,40,14,15,3,49,2,9.1,9.1,0.15476190476190477,0.06422619047619048,68.27380952380952,2.0821428571428573,8.400595238095239,7.210714285714286,161.36904761904762,11.485714285714286
2023/2024,06/08/2024,23,2024,42,39,14,11,2,42,3,10.55,10.55,0.1130952380952381,0.07160714285714286,54.19642857142857,2.142857142857143,7.7285714285714295,6.6535714285714285,141.66666666666666,10.314285714285713
2023/2024,06/15/2024,24,2024,63,39,14,11,2,63,2,10.6,10.6,0.16666666666666666,0.06601190476190476,66.80952380952381,2.0214285714285714,6.6726190476190474,7.113095238095238,144.0595238095238,11.441666666666666
2023/2024,06/22/2024,25,2024,49,49,17,15,2,48,2,9.3,9.3,0.03571428571428571,0.08511904761904762,65.26190476190476,2.0845238095238097,7.6535714285714285,7.436904761904763,151.97619047619048,11.722619047619048
