SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2024/2025,11/30/2024,48,2024,7.280109889280518,53,3.7416573867739413,3.4965075614664802,2.1972245773362196,1.1156641466611692,1.3862943611198906,2.5,2.65,0.7202380952380952,0.04642857142857143,38.94047619047619,1.2198071970830113,3.154011819235111,2.2178967161809564,1.063701018358643,3.206219118167004
2024/2025,12/07/2024,49,2024,8.48528137423857,72,4.58257569495584,3.5553480614894135,2.1972245773362196,0.22809976771310445,1.9459101490553132,2.4,2.45,0.5595238095238095,0.051428571428571435,24.458333333333332,1.7525182994193105,3.6580696689770456,2.7476173013777534,1.527990812289481,4.0154865117104706
2024/2025,12/14/2024,50,2024,9.797958971132712,96,5.5677643628300215,3.4965075614664802,2.0794415416798357,1.3246049715253485,1.6094379124341003,2.25,2.3,0.9761904761904762,0.08428571428571428,49.36309523809524,1.2042087987965946,2.8381585604179507,2.2845222707864536,0.6523711493636281,3.4161790944827155
2024/2025,12/21/2024,51,2024,8.0,64,4.242640687119285,3.4339872044851463,2.302585092994046,0.5344520050540486,1.3862943611198906,2.3,2.4,0.6130952380952381,0.08660714285714285,35.17857142857143,1.356612690341747,3.2017636439890773,2.433571327811959,1.0336571116162185,3.4750071724157565
2024/2025,12/28/2024,52,2024,6.557438524302,43,3.4641016151377544,3.258096538021482,1.9459101490553132,1.0450099725061894,1.6094379124341003,2.3,2.45,0.18452380952380953,0.09029761904761904,47.57738095238095,1.2082204271652697,2.724117270591467,2.076813429854122,0.5438852852023043,3.003679757065435
2024/2025,01/04/2025,1,2025,7.483314773547883,56,4.123105625617661,3.5263605246161616,2.1972245773362196,1.3246049715253485,1.791759469228055,2.35,2.4,0.6488095238095238,0.06482142857142857,34.49404761904762,1.5107180038524963,3.273082203055973,2.3603304762831696,0.9470163105854681,3.4549603447505137
2024/2025,01/11/2025,2,2025,7.483314773547883,56,4.123105625617661,3.5263605246161616,1.9459101490553132,0.8297856925675801,1.791759469228055,2.6,2.6,3.988095238095238,0.047678571428571424,34.267857142857146,1.62130132610404,3.3440129655911153,2.3003152505030218,0.7359551190003144,3.5576319946218624
2024/2025,01/18/2025,3,2025,8.246211251235321,68,4.58257569495584,3.6109179126442243,2.0794415416798357,1.0450099725061894,1.9459101490553132,2.4,2.5,2.3095238095238093,0.054047619047619046,32.25,1.6993452716352082,3.460765950188604,2.4798500879414496,1.1656793786139896,3.7632662583867464
2024/2025,01/25/2025,4,2025,8.426149773176359,71,4.58257569495584,3.5553480614894135,2.0794415416798357,0.9020894515171182,2.0794415416798357,2.8,2.8,1.2678571428571428,0.06922619047619048,32.601190476190474,1.7140828878733716,3.506548993251486,2.5726380768645996,1.2262207339829478,3.81663622257359
2024/2025,02/01/2025,5,2025,8.0,64,4.58257569495584,3.5263605246161616,1.6094379124341003,0.9020894515171182,1.791759469228055,2.55,3.15,1.2797619047619047,0.11619047619047619,42.36309523809524,1.418146510909461,3.1501107302073916,2.4796653545022935,0.8763556727013108,3.795845113576818
2024/2025,02/08/2025,6,2025,6.855654600401044,47,3.605551275463989,3.367295829986474,1.6094379124341003,1.3246049715253485,1.3862943611198906,3.5,3.55,0.8392857142857143,0.0955357142857143,63.785714285714285,0.8771512851939495,2.2360466508438823,1.865618142077464,-0.036465276541392685,2.720172287915059
2024/2025,02/15/2025,7,2025,7.280109889280518,53,3.872983346207417,3.4965075614664802,1.791759469228055,1.4615317094799078,1.6094379124341003,3.6,3.8,0.9821428571428571,0.08244047619047619,61.05357142857143,1.2891035996947304,2.5930687153387337,2.149154212721338,0.5044651835716927,3.205339202063138
2024/2025,02/22/2025,8,2025,7.615773105863909,58,4.0,3.5263605246161616,1.9459101490553132,1.25544593312833,1.9459101490553132,4.5,4.5,1.0714285714285714,0.10541666666666667,44.607142857142854,1.6591864478147988,3.1859937205732574,2.5306760542779267,0.8257838385966442,3.7655654094525697
2024/2025,03/01/2025,9,2025,8.48528137423857,72,4.69041575982343,3.6109179126442243,1.9459101490553132,1.5966913036514077,1.9459101490553132,4.7,5.05,1.6666666666666667,0.10053571428571428,47.26190476190476,1.5876808438841785,3.2370795376071584,2.681946837122472,1.1953270703372618,4.157337044941008
2024/2025,03/08/2025,10,2025,7.3484692283495345,54,3.872983346207417,3.4011973816621555,1.791759469228055,1.4615317094799078,1.6094379124341003,5.0,5.0,0.5952380952380952,0.10214285714285715,60.93452380952381,1.239534864330829,2.602883993201136,2.098347887370778,0.4449332128049309,3.1384473144307186
2024/2025,03/15/2025,11,2025,7.937253933193772,61,4.898979485566356,3.5553480614894135,1.791759469228055,2.685816588994589,1.791759469228055,4.85,5.95,1.8988095238095237,0.1513095238095238,70.0297619047619,1.1611794272945861,2.420521133278756,2.204616790589322,0.4658206567456028,3.4332196122553387
